Tim <extra_id_0> m.jin.	<extra_id_0> brzadem żëwią sã <extra_id_1>
Pogląd ten wynikał z nauk kabalistycznych Kuka, <extra_id_0> profanum stanowi zewnętrzną manifestację duchowości.	<extra_id_0> które twierdziły, że <extra_id_1>
Zwëczajny <extra_id_0> - to je môłi ptôch z rodzëznë łëzgôczów.	<extra_id_0> klãskôcz (Coccothraustes coccothraustes) <extra_id_1>
Jako <extra_id_0> karczmę.	<extra_id_0> pierwszą Rosjanie zdobyli <extra_id_1>
Òn zmùżdżi tobie głowã, a <extra_id_0> piãtã”.	<extra_id_0> të zmùżdżisz mù <extra_id_1>
W szczególności – potwierdzenie genealogii rodu załatwiane było w Paryżu dzięki <extra_id_0> zarazem kochanka matki cesarza.	<extra_id_0> protekcji gubernatora wyspy, <extra_id_1>
Zwëczajnô brunelkaZwëczajnô brunelka <extra_id_0> - to je wielelatnô roscëna z rodzëznë głëszkòwatëch (Lamiaceae).	<extra_id_0> (Prunella vulgaris L.) <extra_id_1>
Napływ kapitału przełożył się na nowe miejsca pracy i rozszerzenie <extra_id_0> towarów i usług.	<extra_id_0> bazy dla rynku <extra_id_1>
Rywalem <extra_id_0> młodszy o rok Affirmed.	<extra_id_0> Seattle Slewa był <extra_id_1>
Bëłë głosë, <extra_id_0> sfalszowany a wiele lëdzy nie mògło pòdac kaszëbsczi nôrodnoscë.	<extra_id_0> że spisënk bëł <extra_id_1>
Prãcëków piãc, nitczi ù dołu òmszone, wëgãti, słupek <extra_id_0> szijką.	<extra_id_0> jeden z lilową <extra_id_1>
Eùropejskô sarna <extra_id_0> to je ôrt lądowëch susków z rodzëznë jeléniowatëch (Cervidae).	<extra_id_0> (Capreolus capreolus) – <extra_id_1>
Podczas uroczystości wystawiona <extra_id_0> w której znalazły się nazwiska sponsorów pomnika, a uczestnicy uroczystości i zaproszeni goście dokonali w niej pamiątkowych wpisów.	<extra_id_0> była Księga Pamiątkowa, <extra_id_1>
Zamrożenie <extra_id_0> ich fizyczne usunięcie.	<extra_id_0> zmian, a następnie <extra_id_1>
Wilczé zelé (Euphorbia peplus L.) – <extra_id_0> roscëna z rodzëznë psotnikòwatëch.	<extra_id_0> to je jednorocznô <extra_id_1>
Dziełem Józefa była również rozbudowa jednoklasowych <extra_id_0> wsiach i miasteczkach.	<extra_id_0> szkół elementarnych we <extra_id_1>
Je pòmalny w <extra_id_0> chùtczi ani ùwinny.	<extra_id_0> rëchach, nie je <extra_id_1>
Był <extra_id_0> komunikacji) i Franciszki.	<extra_id_0> synem Jana (inżyniera <extra_id_1>
Wëstãpiwô <extra_id_0> Ekstraklasy.	<extra_id_0> òn w Anielsczi <extra_id_1>
Ma <extra_id_0> pozę osoby śpiącej, a nie zmarłej.	<extra_id_0> ona przy tym <extra_id_1>
Z dorobkiem jednego <extra_id_0> na szesnastej pozycji w końcowej klasyfikacji kierowców.	<extra_id_0> punktu uplasował się <extra_id_1>
Lepny flaster - <extra_id_0> chtëren sã lepi do skórë, ale mô téż sztëczk bandażë na renã.	<extra_id_0> to je flaster, <extra_id_1>
Józefa od św. Jana <extra_id_0> Josefa de San Juan Ruano Garcia (ur.	<extra_id_0> Bożego Ruano García, <extra_id_1>
Ten park <extra_id_0> turisticzi.	<extra_id_0> je wôżny dlô <extra_id_1>
Jinwesticjowé wëdôwczi na <extra_id_0> gòspòdarzënk wòdny pòstãpno rosną.	<extra_id_0> óchróniã òkrążégò i <extra_id_1>
W 1613 roku w wyniku pożaru miasta spłonął <extra_id_0> z wieżami i znajdującymi się w niej dzwonami.	<extra_id_0> dach świątyni wraz <extra_id_1>
W tym samym czasie <extra_id_0> Zane, po dokonaniu rabunku w swojej firmie na Manhattanie ucieka także do Connecticut.	<extra_id_0> młody bankier, Waldo <extra_id_1>
Ród Moysa-Rosochackich był spokrewniony z <extra_id_0> von Meracey, Szczepańskimi h.	<extra_id_0> Bogdanowiczami, baronami Kapri <extra_id_1>
Na intendenta Obrony Krajowej (niem. Landewhrintendant) został awansowany ze <extra_id_0> kwietnia 1908 roku.	<extra_id_0> starszeństwem z 28 <extra_id_1>
Wszyscy współpracownicy uznali jednak zgodnie, że obraz należy opublikować dopiero <extra_id_0> do Rosji, aby uniknąć podejrzeń, że się boją Putina.	<extra_id_0> po powrocie polityka <extra_id_1>
Prace artysty <extra_id_0> (	<extra_id_0> w zbiorach muzealnych <extra_id_1>
Nordowô Kòreja je <extra_id_0> zwónym stalinowsczim ë izolacjowim.	<extra_id_0> kòmùnistowim państwã, czasã <extra_id_1>
W Kòreji <extra_id_0> planszowëch grów.	<extra_id_0> je wiele widzałëch <extra_id_1>
Sedzôł w Stôrogardze ë <extra_id_0> lëstopadnika 1846 r. - w berlińsczim Mòabice.	<extra_id_0> Grëdządzu, a òd <extra_id_1>
Je to 1819 rok naszi erë <extra_id_0> 819. rok drëdżégò tësąclecô, 19. rok XIX stolatégò, 9. rok 2-égò dzesãcolecô XIX stolatégò.	<extra_id_0> (pò narodzenim Christusa), <extra_id_1>
Czasã <extra_id_0> wëłączaniégò jazëkòwëch głosów.	<extra_id_0> je mòżlëwòsc nadrzãdnégò <extra_id_1>
Od <extra_id_0> w Warszawie.	<extra_id_0> 1976 r. mieszkała <extra_id_1>
Kòscół swiãtégò <extra_id_0> je z drëdzi pòłowë XIV stalata.	<extra_id_0> Jana w Gduńskù <extra_id_1>
Jinsze miona gardu <extra_id_0> Gdańsk, Gdôńsk, Gdąńskò.	<extra_id_0> to téż: Gdańskò, <extra_id_1>
Była <extra_id_0> 100 m stylem dowolnym w 1949 i 1951 oraz na 400 m stylem dowolnym w 1949.	<extra_id_0> mistrzynią Holandii na <extra_id_1>
Dlatego też badacz maryjnej duchowości karmelitańskiej, Jan od Jezusa Hostii OCD, oceniając traktat podsumował: „Wydaje się, iż to jest najwyższy punkt, do jakiego wzniosła się nauka maryjna w Karmelu; <extra_id_0> nie może się już wznieść wyżej.	<extra_id_0> i prawdę mówiąc, <extra_id_1>
Masyw <extra_id_0> całości odsłonięty.	<extra_id_0> Przedniej jest w <extra_id_1>
Wòda <extra_id_0> w czarzënie, òsoblëwò wiôlgônocnô i swiãconô na Trzech Królów, bò òna czëszcza.	<extra_id_0> miała wôżną rolą <extra_id_1>
Trzy lata po propozycji O’Shaughessy’ego wystąpił on <extra_id_0> i preliminarzem budowy mostu.	<extra_id_0> z konkretną propozycją <extra_id_1>
Sarastro wprowadza teraz Paminę i Tamina <extra_id_0> wtajemniczonych.	<extra_id_0> do świątynnego kręgu <extra_id_1>
Swòją pierwszą brômkã <extra_id_0> 2003 dlô KS Częstochòwa.	<extra_id_0> zdobéł 25 rujana <extra_id_1>
Pò II swiatowi wòjnie nazôd nalôzł robòtã <extra_id_0> òd 1946 jaż do emeriturë w 1965 rokù roznôszôł m.jin.	<extra_id_0> na pòczce, gdze <extra_id_1>
Òstałë pò nim le dwa òdjimczi ë jeden pòrtrét, namalowóny <extra_id_0> chtërnym równak mało szlachùje za pòstacą z fòtografii.	<extra_id_0> za żëcégò, na <extra_id_1>
Po <extra_id_0> września 1921 do czerwca następnego roku pracował w biurze adwokackim K. Czapli w Bytomiu.	<extra_id_0> zakończeniu powstania, od <extra_id_1>
Òb <extra_id_0> kòscelné piesnie np.	<extra_id_0> nią lëdze spiéwelë <extra_id_1>
Duża lesistość (43%), bliskość dwóch rzek (Pilica, Czarna Włoszczowska) oraz różnorodność rzeźby tereny spowodowały rozwój turystyki <extra_id_0> pieszej.	<extra_id_0> kajakowej, rowerowej oraz <extra_id_1>
Jest téż wielokrotnym <extra_id_0> zwycięzcą Tour de Pologne w 1980.	<extra_id_0> mistrzã Polsczi i <extra_id_1>
Często <extra_id_0> przez jednego wytwórcę, a karosowane przez drugiego lub wręcz przez użytkownika.	<extra_id_0> nadwozia były budowane <extra_id_1>
Utwory opublikowano po wielu latach na płycie Niepublikowane w 11-płytowej antologii <extra_id_0> 1976-2006.	<extra_id_0> Irek Dudek Anthology <extra_id_1>
Do <extra_id_0> 150 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Wśród <extra_id_0> historyczna.	<extra_id_0> publikacji dominowała tematyka <extra_id_1>
Na zamku znajduje się również wystawa <extra_id_0> wystawami tematycznymi, między innymi: kłusownictwo, wojenne okręty morskie, cykl życia łososia.	<extra_id_0> morska z wieloma <extra_id_1>
Po odnalezieniu kryjówki <extra_id_0> próbuje zabić ją łomem, lecz w starciu z dziewczyną trafia na bezpiecznik elektryczny, który paraliżuje go prądem.	<extra_id_0> swojej ofiary, Gunther <extra_id_1>
Ansel Adams napisôł czile ksążków <extra_id_0> tim ùczbòwników dlô zaawansowónëch òdjimników.	<extra_id_0> ò fòtografiji, w <extra_id_1>
Cykcakòwatô żnijaCykcakòwatô żnija (téż „znija” ë „zmija”) (Vipera berus) <extra_id_0> ôrt gadzënë z rodzëznë żnijowatëch (Viperidae).	<extra_id_0> – to je <extra_id_1>
Pomimo tego zwycięstwa, kapitulacja <extra_id_0> secesyjnej została przesądzona wcześniej.	<extra_id_0> Konfederacji w wojnie <extra_id_1>
W <extra_id_0> m. jin.	<extra_id_0> tim cządnikù pisôł <extra_id_1>
Szczecin : Uniwersytet Szczeciński <extra_id_0> 2005.	<extra_id_0> : Archiwum Państwowe, <extra_id_1>
To <extra_id_0> jedno taczi kaszëbsczé karno na swiece.	<extra_id_0> mòże bëc le <extra_id_1>
Pierwsze próby naukowej weryfikacji prawdziwości relacji Marco <extra_id_0> XIX wieku.	<extra_id_0> Polo podjęto w <extra_id_1>
Jinternetowô <extra_id_0> internetowa.	<extra_id_0> séc to sieć <extra_id_1>
Odnotowują <extra_id_0> dokumenty.	<extra_id_0> ją historyczne <extra_id_1>
Według danych na rok 1990 <extra_id_0> osób, a gęstość zaludnienia wynosiła 14 osób/km².	<extra_id_0> gminę zamieszkiwało 115 <extra_id_1>
Przykładem <extra_id_0> mogą być dane o wysokości podatków płaconych namiestnikowi cesarskiemu przez miasto.	<extra_id_0> wyzysku nowych władz <extra_id_1>
Więziony w jego chorzowskiej siedzibie przy ul. <extra_id_0> 1940 roku.	<extra_id_0> Rostka do początku <extra_id_1>
Òkróm tegò w niechtërnëch <extra_id_0> kómbinacje lëtrów (	<extra_id_0> jãzëkach stosowóné są <extra_id_1>
Szãtopiérze (Chiroptera) - to <extra_id_0> chtërne lôtają.	<extra_id_0> je rząd susków, <extra_id_1>
Są òne pòdług <extra_id_0> chtërne jidzé pùzdni rozbùdowiwac.	<extra_id_0> kluczowich słów zortowóne, <extra_id_1>
Je <extra_id_0> splecenków hékloczowëch.	<extra_id_0> czilenôsce ôrtów spòdlowëch <extra_id_1>
Od marca 1946 do czerwca <extra_id_0> KC WKP(b) ds.	<extra_id_0> 1947 przewodniczący Biura <extra_id_1>
Renifer (Rangifer tarandus) – to <extra_id_0> z rodzëznë jeléniowatëch (Cervidae).	<extra_id_0> je lądowi susk <extra_id_1>
Michał <extra_id_0> (ùr.	<extra_id_0> Nawka - <extra_id_1>
Paryż, <extra_id_0> wieku.	<extra_id_0> lata 90. XX <extra_id_1>
Ten dentista z Kaszëb napisôł m.jin. Zielnik lekarski czyli Opis 125 ziół używanych w lecznictwie z <extra_id_0> i zastosowania.	<extra_id_0> podaniem ich uprawy <extra_id_1>
Wkół blizë, gbùrzczich bùdinków <extra_id_0> pòstawiony mùr z cegłów.	<extra_id_0> i chëczë je <extra_id_1>
W październiku ułożono także <extra_id_0> z trawy sztucznej.	<extra_id_0> wokół boiska opaskę <extra_id_1>
Je to 1424 rok naszi erë (pò narodzenim Christusa), 424. rok drëdżégò tësąclecô, 24. rok XV <extra_id_0> 3-égò dzesãcolecô XV stolatégò.	<extra_id_0> stolatégò, 4. rok <extra_id_1>
Jakùb <extra_id_0> Gedanensis), (ùr.	<extra_id_0> Breyne (Jacobus Breynius <extra_id_1>
Na trzech tablicach zlokalizowanych na głównej bryle wymieniono jednostki rosyjskie biorące udział <extra_id_0> liczebność, dowódców oraz nazwiska poległych Rosjan.	<extra_id_0> w walce, ich <extra_id_1>
Pòszczesnik (Lolium L.) - to <extra_id_0> z rodzëznë Poaceae.	<extra_id_0> je szlach roscënów <extra_id_1>
Inne <extra_id_0> Fangzhangliao, Yiboliao, Daliao, Xiaoliao, Chantang.	<extra_id_0> to Fatang, Zhaitang, <extra_id_1>
Burkina <extra_id_0> pograniczu Sahelu.	<extra_id_0> Faso leży na <extra_id_1>
W historiografii <extra_id_0> uważane jest za pierwszy etap państwowości białoruskiej, wobec czego chętnie podkreślane są wszelkie przejawy jego niezależności.	<extra_id_0> białoruskiej Księstwo Połockie <extra_id_1>
Prowadzi również działalność badawczą dotyczącą recepcji <extra_id_0> nauczania języka polskiego jako obcego (drugiego) i wymowy polskiej.	<extra_id_0> literatury polskiej zagranicą, <extra_id_1>
Wëprowôdzô nas z bezchwatnégò cała i pòkazëje nama, dze më <extra_id_0> co nas żdże w przëchadnym.	<extra_id_0> czedës bëlë i <extra_id_1>
Jego <extra_id_0> aorty brzusznej.	<extra_id_0> matka ma tętniaka <extra_id_1>
Wystąpił on również w talk-showach <extra_id_0> Conan O’Brien oraz The Ellen DeGeneres Show tv.	<extra_id_0> Late Night with <extra_id_1>
Je to <extra_id_0> erë (pò narodzenim Christusa), 785. rok drëdżégò tësąclecô, 85. rok XVIII stolatégò, 5. rok 9-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> 1785 rok naszi <extra_id_1>
Pòdlasczé wòjewództwò je mòcno zróżnicowóné z pòzdrzatkù na <extra_id_0> nôrodnosców i wëznaniów.	<extra_id_0> bëtnosc tuwò różnych <extra_id_1>
Nôwôższi czëp mô tu <extra_id_0> r. m.	<extra_id_0> 5642 m n. <extra_id_1>
Òn miôł sédmë lat gdë wespół ze starszim bratã Dawidã zaczął trenindżi w Rakòwie <extra_id_0> òsmë lat.	<extra_id_0> Częstochòwa, gdze trenowôł <extra_id_1>
W Biafrze, òb czas wòjnë z Nigerią, òstôł téż agentã brytyjsczégò wëwiódë MI-6, <extra_id_0> przëznôł pò kòl 50 latach.	<extra_id_0> do czego sã <extra_id_1>
Funkcję <extra_id_0> zaimkowa Ek HlewagastiR, przy czym podmiotem jest tu rzeczownik pospolity HlewagastiR modyfikowany dodatkowo przez rzeczownik HoltijaR, który prawdopodobnie jest przydomkiem.	<extra_id_0> podmiotu pełni fraza <extra_id_1>
Marek Michał <extra_id_0> września 1946 w Krakowie Kto jest kim w Polsce.	<extra_id_0> Jarema (ur. 18 <extra_id_1>
Po <extra_id_0> do Polski na święta.	<extra_id_0> pół roku przyjechał <extra_id_1>
Czerwionô kòniczëna <extra_id_0> - to je roscëna z rodzëznë bòbòwatëch.	<extra_id_0> (Trifolium pratense L.) <extra_id_1>
Dóno je pò <extra_id_0> ruskù, pòprzedzającë wstãpã (ë nôgłówkã) pò pòlskù ë ruskù.	<extra_id_0> pòlskù, kaszëbskù ë <extra_id_1>
Jesz na zôczątkù XX-gò stolatégò jistniałë tam aùtochtoniczné dialektë <extra_id_0> witomińsczi, sopòcczi; ë pôłniowòpòrénkòwé: òlëwsczi, brzezënsczi, matarnsczi.	<extra_id_0> kaszëbsczé: nordowòpòrénkòwé- wiôlgòkacczi, <extra_id_1>
NIWIZNA <extra_id_0> poziom.	<extra_id_0> równiô, pòl. <extra_id_1>
Jego cecha charakterystyczna to kropla na <extra_id_0> nie chce mu spaść.	<extra_id_0> czubku nosa, która <extra_id_1>
Kòl <extra_id_0> sw.	<extra_id_0> swiãti Dorotë, <extra_id_1>
Wôżnéma wietwiama <extra_id_0> turistika, mòrskô industrëjô (òkrãtownie ë pòrtë),bùdowizna, rëbaczenié ë gbùrzëzna.	<extra_id_0> gòspòdarzënkù Kaszëb są: <extra_id_1>
Jak òkresliwô E. Prëczkòwsczi „Kaszëbi, chtërny przódë nie bëlë nôłożen bëc na <extra_id_0> Zemiã” ùwôżelë jakno swój program.	<extra_id_0> antenie TV, „Rodną <extra_id_1>
Jistné zortowanié farwów <extra_id_0> krajińsczim òbleczënkù.	<extra_id_0> bëło téż w <extra_id_1>
Tradycyjné nudle Daleczégò Wschòdu, fòrmòwané są <extra_id_0> i rozcąganié wiele razy skłôdónégò pòdłùżnégò sztëczka casta.	<extra_id_0> rãczno, pòprzez rolowanié <extra_id_1>
W <extra_id_0> òdjachôł z Gduńska Kindertransport razem z nim.	<extra_id_0> zélniku 1939 rokù <extra_id_1>
Henrik <extra_id_0> pisôrz.	<extra_id_0> Dawidowsczi (1929-) kaszëbsczi <extra_id_1>
Słowò "ùczba" <extra_id_0> òglową spòlëznã ùczałich ôs metodë, jaczima sã òni pòsługòwają przë dochôdanim do wiedzbë.	<extra_id_0> mòże òznôczac téż <extra_id_1>
Stolëca i nôwikszi <extra_id_0> Aires.	<extra_id_0> gard to Buenos <extra_id_1>
Wôrt je téż dodac, że lëdze <extra_id_0> nie są w tim jednaczi, a pamiãcowé jiwrë jaczé mają, zanôlégają dosc tëli òd etiologii neùrodegeneracyjnégò procesu.	<extra_id_0> z kórowim òtãpienim <extra_id_1>
Mizëzdroje <extra_id_0> 1579, Misdroy 1579; pòl.	<extra_id_0> (we zdrojach: Mysdroje <extra_id_1>
Zbrzëca je drëdżim co wiôlgòscë <extra_id_0> 10% wiéchrzëznë ji òbéńdë.	<extra_id_0> docékã Brdë, òbjimô <extra_id_1>
W rokù 1882 <extra_id_0> klatrat dwutlenku węgla i baderôwôł jegò własnosce.	<extra_id_0> jakò pierwszi wëtwôrził <extra_id_1>
Pysk ma krótki – stosunek długości głowy <extra_id_0> wynosi od 4,1 do 5,4, przeważnie zaś 4,6.	<extra_id_0> do długości pyska <extra_id_1>
Na scenie zostały ustawione 2 <extra_id_0> samolot.	<extra_id_0> wieże oraz przekreślony <extra_id_1>
Wnetka pò <extra_id_0> zamkłi w sôdzë we Wilnie za dzejanié w krëjamnym Towarzëstwie Filomatów.	<extra_id_0> tim pòéta òstôł <extra_id_1>
Je to <extra_id_0> erë (pò narodzenim Christusa), 926. rok pierszégò tësąclecégò, 26. rok X stolatégò, 6. rok 3-égò dzesãcolecô X stolatégò.	<extra_id_0> 926 rok naszi <extra_id_1>
Po <extra_id_0> światowej Capa wyjechał do USA.	<extra_id_0> wybuchu II wojny <extra_id_1>
Ùrażewé zelé (Mentha <extra_id_0> to je wielelatnô roscëna z rodzëznë głëszkòwatëch.	<extra_id_0> arvensis L.) – <extra_id_1>
Drëgô nieczedë je <extra_id_0> téż przez Miemców.	<extra_id_0> wrechòwanô do Pòmòrsczi <extra_id_1>
Dzysdniowô bliza mô <extra_id_0> je z cemnoczerwony cegłë.	<extra_id_0> 41,5 m, zrobionô <extra_id_1>
Pòchwôt <extra_id_0> grecczich słów: φωτος (fotos) - "wid", ë γραφις (grafis) - "céchòwac".	<extra_id_0> fòtografijô pòchôdô òd <extra_id_1>
Alfa Lyncis ma <extra_id_0> kompanów.	<extra_id_0> dwóch słabych optycznych <extra_id_1>
Mimo że żaden z jego całościowych projektów samochodów nie był produkowany seryjnie (oprócz głębokich modyfikacji Warszawy sedan i kombi oraz Syreny Bosto) <extra_id_0> Syreny Sport i Ogara nabrały statusu kultowych pojazdów.	<extra_id_0> to prototypowe realizacje <extra_id_1>
Piotrowi przypisywane <extra_id_0> listów (	<extra_id_0> jest autorstwo dwóch <extra_id_1>
W 2008 rokù Kòsowò ògłosëło samòstójnotã òd Serbsczi, <extra_id_0> ùznôwô.	<extra_id_0> chtërny Serbiô nie <extra_id_1>
Dzysdnia mòże tu òbezdrzec wiôldżi smãtôrz bò sta lagrowëch ùmarłë nôbarżi z głodu, <extra_id_0> tifùsu.	<extra_id_0> zemna i òd <extra_id_1>
Forsyth òkresliwô sã, òsoblëwié w sprawié politicznéch pòzdrzadków, <extra_id_0> jawernym prôcemnikã Eùropejsczéj Ùni.	<extra_id_0> jaknô kònserwatista, je <extra_id_1>
Znajduje <extra_id_0> sklepów, kawiarni i lodziarni.	<extra_id_0> się tu dużo <extra_id_1>
Otrzymała pracę w nowo tworzącej się Spółdzielni <extra_id_0> wkrótce objęła stanowisko prezesa firmy.	<extra_id_0> Pracy „Śnieżka” i <extra_id_1>
Podzieloną przez potok na 2 <extra_id_0> 2 mosty oraz kładka.	<extra_id_0> części miejscowość łączą <extra_id_1>
Od <extra_id_0> minąć 13 lat, zanim uzyskał profesurę.	<extra_id_0> momentu habilitacji miało <extra_id_1>
Na prawej <extra_id_0> 1970 zegar.	<extra_id_0> wieży umieszczono w <extra_id_1>
Do <extra_id_0> również: pianki Haribo Chamallows oraz gumy rozpuszczalne Maoam.	<extra_id_0> marek Haribo należą <extra_id_1>
Za <extra_id_0> sã czas, w chtërnym strzédny temperatura òb całi dzéń je òd 15 do 5 gradów cepła.	<extra_id_0> klimatową jeséń ùwôżo <extra_id_1>
Aktiwny w ni je m.jin. Zbigórz Gerszewsczi, chterën lubi wanożëc pò òkòlim, <extra_id_0> Zabrocczi i jiny.	<extra_id_0> a téż Krësztof <extra_id_1>
Ludwig <extra_id_0> w Swobnicy (daw. Wildenbruch) w wieku 45 lat.	<extra_id_0> von Putbus zmarł <extra_id_1>
Remontowany <extra_id_0> sześćdziesiątych.	<extra_id_0> w latach <extra_id_1>
Rôtësz <extra_id_0> Gduńskù.	<extra_id_0> Przédnégò Gardu w <extra_id_1>
Dane FAO za lata 2009-2011 pòdają że ze 140 tys. ton rocznie nôwikszim producentã je Rosja a te Azerbejdżan a Pòlska zajimùje trzecy plac ze strzédnym plónã <extra_id_0> http://faostat.	<extra_id_0> 97,5 tys ton <extra_id_1>
Mianem iuno określano też <extra_id_0> opiekującą się kobietą i towarzyszącą jej od narodzin aż do śmierci.	<extra_id_0> półboską, śmiertelną istotę <extra_id_1>
Pijawnica (Petromyzon marinus L.) – je <extra_id_0> rodzëzne pijawnicowatëch (Petromyzontidae).	<extra_id_0> cëzożëwnym zwierzã z <extra_id_1>
W 1934 roku uzyskał habilitację na podstawie rozprawy O wpływie <extra_id_0> zjawisko absorpcji i emisji światła.	<extra_id_0> oddziaływań międzycząsteczkowych na <extra_id_1>
Bliza pòwsta z kòmina budinku, gdze <extra_id_0> ùstôw.	<extra_id_0> je téż lékòwny <extra_id_1>
Òn żëje w Chinach i je <extra_id_0> w niebezpiekù, mòże wëdżinąc.	<extra_id_0> chróniony, a je <extra_id_1>
Wprowôdzanié w żëcé Jegò nôùczi, a òsoblëwie tëch słowów, chtërné czerowôł do Kaszëbów je <extra_id_0> kaszëbiznë.	<extra_id_0> pòtrzébné do rozwiju <extra_id_1>
Z kolei po katastrofach obu wojen światowych zajmowanie się <extra_id_0> badań zostało podane w wątpliwość.	<extra_id_0> bronią jako przedmiotem <extra_id_1>
Martin <extra_id_0> (ùr.	<extra_id_0> Shulist <extra_id_1>
Represje dotknęły również powstańców z Ukrainy, ale głównie tych, którzy zostali złapani <extra_id_0> powstaniu.	<extra_id_0> za uczestnictwo w <extra_id_1>
Słownik gwar kaszubskich <extra_id_0> ludowej (	<extra_id_0> na tle kultury <extra_id_1>
Lëdzë <extra_id_0> sprawama priwatnëma.	<extra_id_0> interesëją sã ji <extra_id_1>
Utwór pobił również rekord najwolniejszego wznoszenia się do pierwszej piątki w historii tego notowania, a także jest rekordzistą w ilości tygodni spędzonych <extra_id_0> 87 tygodni.	<extra_id_0> na liście wynoszącym <extra_id_1>
Linia Großkorbetha – Deuben łączy linię <extra_id_0> z przebiegającą na południu linią Weißenfels – Zeitz między Teuchern a Deuben.	<extra_id_0> Halle – Bebra <extra_id_1>
Lay jest uważana za przedstawiciela <extra_id_0> partii.	<extra_id_0> libertariańskiego, niedogmatycznego spektrum <extra_id_1>
Ma swoje początki już w początkach <extra_id_0> rywalizujący promotorzy często organizowali tego typu pojedynki.	<extra_id_0> wrestlingu, kiedy to <extra_id_1>
Jich dzejanié je widzec w <extra_id_0> kònferencjów czë wëstôwków.	<extra_id_0> rëchtowanim rozmajitëch ùczałëch <extra_id_1>
”, która <extra_id_0> rynku jako dziennik regionalny.	<extra_id_0> utrzymała się na <extra_id_1>
Kôczornica <extra_id_0> to je wielelatnô roscëna z rodzëznë kòblunowatëch (Nymphaeaceae).	<extra_id_0> (Nuphar lutea) - <extra_id_1>
Inwestorem centrum była spółka Fabryka <extra_id_0> Mirbud.	<extra_id_0> Biznesu, wykonawcą generalnym <extra_id_1>
Jego zastosowanie pozwala na bardziej obiektywne rozliczanie efektywności czasu pracy i powiązanie <extra_id_0> systemem premiowania za efektywność pracy.	<extra_id_0> tego wskaźnika z <extra_id_1>
W takim <extra_id_0> pokierowane tak, by uzasadnić ustalony już wyrok.	<extra_id_0> wypadku postępowanie jest <extra_id_1>
Wezwany ukazuje się pod <extra_id_0> lub człowieka z twarzą tego zwierzęcia.	<extra_id_0> postacią wściekłego lwa <extra_id_1>
Marzónka (Galium <extra_id_0> je szlach roscënów z rodzëznë prząszczkòwatëch (Rubiaceae).	<extra_id_0> L.) - to <extra_id_1>
Według danych na rok 1990 gminę zamieszkiwało <extra_id_0> os./km².	<extra_id_0> 759 osób, 242 <extra_id_1>
Edward był mężczyzną wysokim i przystojnym, uważanym <extra_id_0> swoich czasów.	<extra_id_0> za najprzystojniejszego mężczyznę <extra_id_1>
Òrganowô <extra_id_0> drewnianô òbùdowanié jinstrumentu.	<extra_id_0> szafa je to <extra_id_1>
Ten proces rzeszôł sã z rozradzanim <extra_id_0> kôżdi nôleżnik miôł prawo do władaniégò cządã domôcënë pòdle pòlsczégò zwëkòwégò prawa.	<extra_id_0> dinastié Piastów, jaczi <extra_id_1>
Dejadë dosc <extra_id_0> Erik w marachùjącé wòjnë z Hanzą, a przez to narôsta òpòzycëjô procëm niemù.	<extra_id_0> chùtkò wdôł sã <extra_id_1>
Jakno <extra_id_0> felietónë.	<extra_id_0> Andrisów Gùst pisywôł <extra_id_1>
Zorte trusów bëlë sztëczno <extra_id_0> rozmajitich célów.	<extra_id_0> robiony przez człowieka,dló <extra_id_1>
Pòza tim mòżemy napòtkac <extra_id_0> sarny, wilczi czy żbiki.	<extra_id_0> tu równak dziki, <extra_id_1>
Jak <extra_id_0> jeléń?	<extra_id_0> wiôldżi je <extra_id_1>
Euzebiusz był najstarszym <extra_id_0> dzieci rodziców.	<extra_id_0> synem z siedmiorga <extra_id_1>
W latach 1959–1991 <extra_id_0> ks. Stanisław Librowski.	<extra_id_0> redaktorem naczelnym był <extra_id_1>
Po wydaniu prekursorskich utworów Rogoszówny przez polską literaturę <extra_id_0> fala adaptacji i publikacji utworów ludowych.	<extra_id_0> dziecięcą przetoczyła się <extra_id_1>
Lënk <extra_id_0> logicznym sparłãczenim sécowëch lopków, abò jejich partów przez pasowné merczi w sécowim dokôzu.	<extra_id_0> (an. hyperlink) je <extra_id_1>
Tu je <extra_id_0> 3400 mieszkańców.	<extra_id_0> kòscół i kòl <extra_id_1>
Wodowanie nastąpiło 25 maja <extra_id_0> służby 26 sierpnia 1941.	<extra_id_0> 1941, wejście do <extra_id_1>
W <extra_id_0> lãk.	<extra_id_0> chtërny swiat dostôł <extra_id_1>
Bë szlë pastuszë, słowu <extra_id_0> Anielë.	<extra_id_0> posłëszni, co rzeklë <extra_id_1>
Bąsôk – to je dłudżi drąg zakùńczony <extra_id_0> pékôczem.	<extra_id_0> metalowim hôkiem i <extra_id_1>
Po pogodzeniu podanych <extra_id_0> mąż.	<extra_id_0> postanawia wyjść za <extra_id_1>
Inna krytyk, Kersti Yllö, która pociągnęła Strausa i tych, którzy korzystają ze do odpowiedzialności za zniszczenie zysków ruchu maltretowanych kobiet, <extra_id_0> na „rynku idei” (	<extra_id_0> uwalniając swoje ustalenia <extra_id_1>
