Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Do kół <extra_id_0> zastosowano hamulce ze specjalnymi nakładkami na klocki hamulcowe.	<extra_id_0> o większej średnicy <extra_id_1>
W 1808 Burr wyjechał na kilka lat <extra_id_0> powrocie do USA (1812) ponownie pracował jako prawnik.	<extra_id_0> do Europy, po <extra_id_1>
Do tego czasu Olson uprowadził 16-letniego Daryna Todda Johnsrude'a, zmiażdżył <extra_id_0> a ciało porzucił w rowie.	<extra_id_0> głowę chłopca młotkiem, <extra_id_1>
Nieoczekiwane okoliczności sprawiają, iż Zach – <extra_id_0> zostaje uczniem szkoły chóru Crossroads.	<extra_id_0> lider chóru Hawthorne <extra_id_1>
Tymczasem Kłusek spadł z 16. na 24. miejsce, Bachleda z 36. na 48. (ex aequo z <extra_id_0> z 53. na 56.	<extra_id_0> Hulą), a Ziobro <extra_id_1>
Był <extra_id_0> chińsko-niemiecki.	<extra_id_0> to pierwszy słownik <extra_id_1>
Alaungpaya zażądał od króla Syjamu gwarancji zaprzestania ingerowania w sprawy <extra_id_0> buntowników.	<extra_id_0> Birmy oraz wspierania <extra_id_1>
Podając się za niejakiego Slate'a, Bond <extra_id_0> która pragnie wyrównać własne rachunki z przeszłości.	<extra_id_0> poznaje piękną Camille, <extra_id_1>
Takie funkcje <extra_id_0> ogrody, ogródki działkowe, cmentarze, tereny sportowe, pasy zieleni, zadrzewienia przyuliczne.	<extra_id_0> pełnią: parki i <extra_id_1>
Zakończyła karierę <extra_id_0> Europy z Węgrami – 6 października 1985.	<extra_id_0> reprezentacyjną meczem mistrzostw <extra_id_1>
W zamian otrzymuje większość udziałów domu <extra_id_0> nord, jednak z powodu przekrętu traci firmę.	<extra_id_0> towarowego Magasin du <extra_id_1>
Od <extra_id_0> Paryżu.	<extra_id_0> 1987 mieszkał w <extra_id_1>
W takiej <extra_id_0> wykazują większą wytrzymałość, a także wydajność w produkcji enzymów.	<extra_id_0> postaci komórki grzybni <extra_id_1>
Ikra <extra_id_0> nie jest lepka.	<extra_id_0> jest pelagiczna i <extra_id_1>
W przeszłości most <extra_id_0> straceń.	<extra_id_0> pełnił funkcję miejsca <extra_id_1>
Decydujący atak miał nastąpić <extra_id_0> Likos, gdzie mury były już znacznie uszkodzone.	<extra_id_0> w rejonie rzeki <extra_id_1>
W 1991 roku <extra_id_0> aktorski.	<extra_id_0> zdał eksternistyczny egzamin <extra_id_1>
Do budynku głównego przylega wysoka <extra_id_0> kopułą.	<extra_id_0> wieża wieloboczna, zakończona <extra_id_1>
Po odzyskaniu <extra_id_0> brytyjskie znaczenie większości niewielkich fortyfikacji nadbrzeżnych systematycznie malało.	<extra_id_0> Malty przez wojska <extra_id_1>
Nie widać więc powodu, <extra_id_0> towarzyszyć postawie obiektywistycznej, naukowej.	<extra_id_0> by nie mogła <extra_id_1>
Miał objąć Polaków i osoby, które działały na ziemiach polskich, a ich działalność była <extra_id_0> robotniczym w XIX i XX wieku.	<extra_id_0> związana z ruchem <extra_id_1>
Herakles <extra_id_0> gdy, wyprawiwszy się po konie Laomedonta, zdobył Troję.	<extra_id_0> obcował z nią, <extra_id_1>
Umina – podobnie jak wcześniej jej mąż <extra_id_0> przez ścigających ją Hiszpanów.	<extra_id_0> – zostaje zasztyletowana <extra_id_1>
W niektórych miejscach przyjęte <extra_id_0> rozwój turbin wiatrowych na terenach samorządu, który jest również ich właścicielem i zarządcą.	<extra_id_0> zostało prawo wspierające <extra_id_1>
Według jednego stereotypu zielonoświątkowcy cały czas modlą się na językach, nabożeństwa są <extra_id_0> się po ziemi.	<extra_id_0> chaotyczne, ludzie tarzają <extra_id_1>
Takie stacje pojawiły się już na F-16C Block 30B, ale to właśnie samoloty Block 40 jako pierwsze wyposażono <extra_id_0> AMRAAM i jako pierwsze mogły wykorzystać nowe możliwości.	<extra_id_0> w pociski AIM-120 <extra_id_1>
Samoloty uczestniczyły <extra_id_0> atakując na dużej prędkości.	<extra_id_0> w kilku walkach, <extra_id_1>
Na jego czele 1 maja tego roku <extra_id_0> Graf zu Stolberg-Stolberg.	<extra_id_0> stanął gen. Christoph <extra_id_1>
Bełchatów doświadczył kilka razy poważnych <extra_id_0> w 2010 r. W mieście istnieje kilka stref miejscowych podtopień podzielonych na szesnaście stref podtopień.	<extra_id_0> podtopień, takich jak <extra_id_1>
W Rokitnie natomiast znajdowała <extra_id_0> służąca przeładunkom.	<extra_id_0> się stacja osobowo–towarowa <extra_id_1>
To wyznacza priorytety <extra_id_0> poszczególnych grup.	<extra_id_0> oraz oczekiwane role <extra_id_1>
Księżyc <extra_id_0> powierzchnię.	<extra_id_0> roztrzaskał się o <extra_id_1>
Szkolny chuligan Kearny kazał swojemu koledze Dolphowi zapisać w Newtonie notatkę o treści „Beat up Martin” co urządzenie zinterpretowało jako „Eat <extra_id_0> czym zdenerwowany Kearny rzucił PDA w stronę Martina.	<extra_id_0> up Martha”, po <extra_id_1>
Z tego wynika, że przy założeniach <extra_id_0> rozpad beta nie jest możliwy.	<extra_id_0> MS podwójny bezneutrinowy <extra_id_1>
Apple nie może się doczekać otrucia jabłkiem, lecz <extra_id_0> przeznaczenie stoi pod znakiem zapytania, ponieważ Raven Queen nie zamierza podać jej otrutego jabłka.	<extra_id_0> na razie jej <extra_id_1>
Współcześnie album jest postrzegany niemal wyłącznie negatywnie przez większość krytyków Bowiego, <extra_id_0> samego Bowiego.	<extra_id_0> jego fanów i <extra_id_1>
Tora <extra_id_0> prawa niezbędne do wypełnienia Przymierza Izraela z Bogiem.	<extra_id_0> zawiera wszystkie wskazówki <extra_id_1>
Zawodniczka <extra_id_0> latach 1991-1994.	<extra_id_0> KTS Tarnobrzeg w <extra_id_1>
Przedstawienie bardzo poruszyło <extra_id_0> się nawrócić.	<extra_id_0> Emmę i zapragnęła <extra_id_1>
Główna działalność zespołu rozpoczęła się po związaniu składu w Warszawie, <extra_id_0> gitary), Tomasz Szuba (bas), Marek Syryt (perkusja).	<extra_id_0> Piotr Zdybel (wokal, <extra_id_1>
Jeden opracowany <extra_id_0> Naczelną, drugi przez grupę dziesięciu pastorów (m.in.	<extra_id_0> został przez Radę <extra_id_1>
W roku 1999 cel <extra_id_0> – NATO powiększyło się z 16 do 19 państw.	<extra_id_0> ten został osiągnięty <extra_id_1>
Obaj byli uwikłani w osobiste konfrontacje, zwykle odnoszące się <extra_id_0> autorów.	<extra_id_0> do literackich karykatur <extra_id_1>
Przed nadaniem nazwy planetoida nosiła <extra_id_0> 1910 KE.	<extra_id_0> oznaczenie tymczasowe (700) <extra_id_1>
Pismo pracowników i studentów <extra_id_0> 2/1998, s.8-10.	<extra_id_0> Politechniki Gdańskiej, nr <extra_id_1>
Emuqubazhe/Emuqubasheluo Chińczycy także starali się oddać w przybliżeniu brzmienie pojęcia czy nazwy <extra_id_0> znaków.	<extra_id_0> przy pomocy odpowiednich <extra_id_1>
Według spisu hrabstwo zajmuje powierzchnię 2149 km², z <extra_id_0> stanowią lądy, a 27 km² – wody.	<extra_id_0> czego 2122 km² <extra_id_1>
Istotnie przez mod <extra_id_0> składową obecną w przebiegu czasowym związaną z danym biegunem układu.	<extra_id_0> rozumie się wówczas <extra_id_1>
Sam jest odporny na ból, co udowadnia m.in. w sekwencji tortur, dokonywanych na nim przez <extra_id_0> filmie z 1989 roku.	<extra_id_0> Lady Tanakę, w <extra_id_1>
Monthairons plasuje się na 690. miejscu pod względem liczby ludności, natomiast pod <extra_id_0> miejscu 467.).	<extra_id_0> względem powierzchni na <extra_id_1>
Musisz być <extra_id_0> Perfect Teacher) – amerykański film telewizyjny z 2010 roku.	<extra_id_0> mój (ang. The <extra_id_1>
Zaś pogoń większości floty ZSRR za jednym okrętem, wraz z rozkazami zatopienia go, powoduje, że Amerykanie <extra_id_0> nie wszystko w tej grze jest tak oczywiste, jak to na pierwszy rzut oka wygląda.	<extra_id_0> zaczynają podejrzewać, iż <extra_id_1>
Według danych <extra_id_0> gminę zamieszkiwało 2108 osób, 84,3 os./km².	<extra_id_0> na rok 2004 <extra_id_1>
Nieoficjalnym organem emigracyjnego rządu URL był tygodnik „Tryzub” wydawany w <extra_id_0> 1925-1940.	<extra_id_0> Paryżu w latach <extra_id_1>
Śluby wieczyste <extra_id_0> 1927.	<extra_id_0> złożył 11 marca <extra_id_1>
Całość jego <extra_id_0> do handlu zagranicznego.	<extra_id_0> postanowień ogranicza się <extra_id_1>
W czasie tych wędrówek pisze między innymi <extra_id_0> system” (1941) i „Schemat kryzysu”.	<extra_id_0> prace: „Historia jako <extra_id_1>
Osobniki żyjące na jasnym podłożu mają ciało brązowawe, zaś na ciemnym podłożu spotyka <extra_id_0> prawie czarne.	<extra_id_0> się osobniki nawet <extra_id_1>
Trenerem ekipy był Jacek Dankowski, <extra_id_0> Narodowej.	<extra_id_0> trener Szybowcowej Kadry <extra_id_1>
Kampfgemeinschaft Revolutionärer Nationalsozialisten) zwana <extra_id_0> we wrześniu 1930.	<extra_id_0> „Czarnym Frontem”, powstała <extra_id_1>
Natomiast 22 września 2021 roku osiągnęła najwyższą pozycję <extra_id_0> – 22. miejsce.	<extra_id_0> w rankingu deblowym <extra_id_1>
Poskutkowało to tym, iż <extra_id_0> i uciekł przez dach.	<extra_id_0> Diabeł puścił ich <extra_id_1>
Balbus mówił, często w tym samym fragmencie, <extra_id_0> i najwyższym Bogu.	<extra_id_0> jednocześnie o bogach <extra_id_1>
Jego zadaniem było wykonanie okrążenia na <extra_id_0> prezenterów.	<extra_id_0> torze wyścigowym pojazdami <extra_id_1>
W latach <extra_id_0> zarządzie firmy Naftochimik Prykarpattja.	<extra_id_0> 1999–2003 zasiadał w <extra_id_1>
Zwykle ministrami bez teki zostawali politycy, <extra_id_0> otrzymać właściwe ministerstwa.	<extra_id_0> którzy wkrótce mieli <extra_id_1>
Nianfo <extra_id_0> jak w szkole jingzhong, jednak na końcu ceremonii, a nie na jej początku.	<extra_id_0> wykorzystywane było podobnie <extra_id_1>
W Lublinie <extra_id_0> Hansa Christiana Andersena.	<extra_id_0> jest teatr im. <extra_id_1>
Dekrety z 1977 i 1981 zwiększyły <extra_id_0> uprawnych do pół hektara.	<extra_id_0> powierzchnie prywatnych gruntów <extra_id_1>
Był to samolot bombowy, w którym <extra_id_0> rozwiązań technicznych.	<extra_id_0> zastosowano wiele nowatorskich <extra_id_1>
Krajobraz kulturowy związany z osadnictwem holenderskim zachowany w dobrym stanie (rozłogi pól obsadzone wierzbami, rowy melioracyjne i stawy gromadzące <extra_id_0> obsadzone topolami i wierzbami).	<extra_id_0> nadmiar wody, siedliska <extra_id_1>
Ma jednak dziadka i <extra_id_0> wnuków.	<extra_id_0> może mieć męskich <extra_id_1>
W <extra_id_0> gościnnie, m.in. w 1912 w Krakowie.	<extra_id_0> tym okresie występowała <extra_id_1>
Messier 110 (znana <extra_id_0> M110 lub NGC 205) –	<extra_id_0> również pod oznaczeniem <extra_id_1>
Zwichnięcia otwarte, nawykowe oraz przypadki z <extra_id_0> nerwów leczy się operacyjnie.	<extra_id_0> uszkodzeniem naczyń lub <extra_id_1>
Po zakończeniu wygłasza <extra_id_0> skierowany do publiczności i wykonuje singiel „The Power".	<extra_id_0> 10 minutowy monolog <extra_id_1>
Magda została <extra_id_0> w Nowogrodzie, koncertowała w filharmonii.	<extra_id_0> dyrektorką szkoły muzycznej <extra_id_1>
W 1935 <extra_id_0> działalność gospodarczą.	<extra_id_0> roku rozpoczął samodzielną <extra_id_1>
W Uerdingen był najskuteczniejszym <extra_id_0> goli, ale zespół ten zajął ostatnie miejsce i spadł z ligi.	<extra_id_0> zawodnikiem zdobywając 11 <extra_id_1>
Do ważniejszych zabytków miasta należą kościół San Román oraz ruiny dawnego rzymskiego mostu znajdującego za miastem, <extra_id_0> dziś chodzą pielgrzymi zmierzający do Santiago de Compostela.	<extra_id_0> przez który do <extra_id_1>
W kontynentalnej Europie stwierdzony <extra_id_0> ok. 1900 roku.	<extra_id_0> został jako inwazyjny <extra_id_1>
Tym samym radomianom brakowało tylko jednego zwycięstwa <extra_id_0> medalu.	<extra_id_0> do wywalczenia brązowego <extra_id_1>
Podstawa The Guild 2 i dodatki Piraci starego świata i <extra_id_0> Guild 2 Antologia.	<extra_id_0> Wenecja tworzą The <extra_id_1>
Miesiąc później pojawiła się informacja, że jego premierę <extra_id_0> czerwca 2014 roku, a do scenarzystów dołączył Evan Daugherty.	<extra_id_0> przesunięto na 6 <extra_id_1>
Wkroczenie <extra_id_0> bagnisty teren leżący między rosyjskimi obozami byłoby nie tylko nieoczekiwanym dla nieprzyjaciela manewrem, ale doprowadziło by także do podziału rosyjskich sił na dwie części.	<extra_id_0> wojsk szwedzkich na <extra_id_1>
Wcześniejszy cmentarz <extra_id_0> kościoła.	<extra_id_0> znajdował się obok <extra_id_1>
Zostało to skrócone do nazwy „Kaitō Sai”, a zatem <extra_id_0> jako Sai w anime i mandze.	<extra_id_0> X jest wymawiane <extra_id_1>
Płyta jest bardziej mroczna i cięższa niż poprzednie, lecz <extra_id_0> zmienił się zbytnio.	<extra_id_0> styl wokalu nie <extra_id_1>
W wyborach prezydenckich <extra_id_0> zdobył 2,02% głosów i zajął dziewiąte miejsce.	<extra_id_0> z kwietnia 2002 <extra_id_1>
Wydziały filozofii na uczelniach wyższych zamykano, przedwojennych nauczycieli filozofii odsuwano od <extra_id_0> nie-marksistowską filozofię cenzurowano i ograniczano możliwość jej rozwoju.	<extra_id_0> nauczania lub zwalniano, <extra_id_1>
Po obu stronach nawy głównej rozmieszczone są po cztery ośmioboczne kaplice, <extra_id_0> niezbyt szerokimi drzwiami.	<extra_id_0> połączone ze sobą <extra_id_1>
Tylko nieliczni <extra_id_0> przeżyć infekcję.	<extra_id_0> ludzie mają szansę <extra_id_1>
Za Gyōgena (1097-1155) 48 zasu Enryaku-ji została zrestaurowana <extra_id_0> przez dwór" (jap. monzeki).	<extra_id_0> jako "świątynia zatwierdzona <extra_id_1>
Obecnie sieć posiada 30 ośrodków, po jednym dla <extra_id_0> państw członkowskich, Norwegii i Islandii.	<extra_id_0> każdego z 28 <extra_id_1>
Myśliwiec <extra_id_0> konstrukcję.	<extra_id_0> miał dość nietypową <extra_id_1>
Po półtora roku przeniósł <extra_id_0> i zaczął pracować w drukarniach i redakcjach.	<extra_id_0> się do Detroit <extra_id_1>
W drugiej części można go lepiej poznać, jest lojalny lecz tchórzliwy, mimo tego dobrym <extra_id_0> to, że w pierwszej części pokonał Ironhide'a i Ratchet'a.).	<extra_id_0> wojownikiem (dowodem jest <extra_id_1>
Gospodarczo wody <extra_id_0> znaczenia.	<extra_id_0> nabierają coraz większego <extra_id_1>
Neoplan <extra_id_0> trzeciej generacji autobusów.	<extra_id_0> N4407 jest przedstawicielem <extra_id_1>
Wiele kamienic <extra_id_0> zostało przebudowanych w II połowie XX wieku.	<extra_id_0> przy ulicy Długiej <extra_id_1>
Sporne jest, czy jakiekolwiek znane triasowe archozaury można <extra_id_0> ptasiomiednicznych.	<extra_id_0> zaliczyć do dinozaurów <extra_id_1>
W tym czasie napisał również The Revolutionary Epick i trzy burleski – <extra_id_0> Marriage i Popanilla.	<extra_id_0> Ixion, The Infernal <extra_id_1>
Figura była w ukryciu <extra_id_0> 600 lat.	<extra_id_0> i zapomnieniu ponad <extra_id_1>
Przed 1990 rokiem w Brazylii <extra_id_0> płyt.	<extra_id_0> nie certyfikowano sprzedaży <extra_id_1>
W 1998 trafił <extra_id_0> School, gdzie grał do 2000.	<extra_id_0> do Funabashi High <extra_id_1>
W 1902 Smętowo <extra_id_0> kolejowym po wybudowaniu linii Smętowo – Skórcz.	<extra_id_0> stało się węzłem <extra_id_1>
Nazwa <extra_id_0> znak od „Saitama” (znak 埼 ma wymowę „sai”), a drugi od 東京 „Tōkyō”.	<extra_id_0> 埼京 ma pierwszy <extra_id_1>
Po zakończeniu śledztwa król Jan Karol I pozbawił Urdangarina tytułu księcia Palmy, a także wykluczył <extra_id_0> żonę z życia dworu.	<extra_id_0> jego i jego <extra_id_1>
Damasias przedłużył bezprawnie swoją roczną <extra_id_0> przez dwa lata i dwa miesiące) i próbował wprowadzić tyranię.	<extra_id_0> kadencję (sprawował ją <extra_id_1>
Został <extra_id_0> okolicznościach (ur.	<extra_id_0> zastrzelony w niewyjaśnionych <extra_id_1>
Uważane <extra_id_0> (m.in.	<extra_id_0> przez wielu krytyków <extra_id_1>
Pod koniec roku otrzymała <extra_id_0> kręgu kinematografów za film Moja Sarah (2006).	<extra_id_0> nominację do medalu <extra_id_1>
W początkach XVII <extra_id_0> Mikołaj Wolski, zlikwidował kalejską kuźnię, a zajmowaną przez nią ziemię przeznaczył na folwark.	<extra_id_0> w. starosta krzepicki, <extra_id_1>
Niewykluczone, że to ona przeniosła <extra_id_0> idee brackie, choć organizacja ta od początku miała polski charakter”.	<extra_id_0> na grunt bytomski <extra_id_1>
Prócz tego jego pensja jest równa <extra_id_0> partii i przewodniczącego pro tempore.	<extra_id_0> do wynagrodzenia liderów <extra_id_1>
Ditch the Attitude, Pally jest drugim albumem <extra_id_0> Corp.	<extra_id_0> zespołu Iron Lung <extra_id_1>
Zorganizowany był program <extra_id_0> „Czy znasz tradycje LWP”.	<extra_id_0> artystyczny oraz konkurs <extra_id_1>
Miąższ <extra_id_0> pod skórką kapelusza czerwonopomarańczowy, kruchy, cienki.	<extra_id_0> – cytrynowożółty, tylko <extra_id_1>
Zmianę <extra_id_0> protesty społeczne.	<extra_id_0> prawa poprzedziły masowe <extra_id_1>
Wymienione konflikty <extra_id_0> przyczyniły się do upadku okolicznych terenów.	<extra_id_0> zrujnowały gospodarkę i <extra_id_1>
Łączą się tu <extra_id_0> i N10.	<extra_id_0> drogi N1, N8 <extra_id_1>
Powstał cykl zatytułowany „Formy Nieprawdopodobne i Nieprawdopodobnie Podobne” z przedstawieniami zbliżonych w kadrze fragmentów ciała <extra_id_0> na drugim planie sylwetowo traktowanymi postaciami ujętymi w ruchu.	<extra_id_0> i towarzyszącymi im <extra_id_1>
Psalm wydaje się być typową modlitwą liturgiczną pełną odwołań do historii, <extra_id_0> sędziów.	<extra_id_0> zwłaszcza z epoki <extra_id_1>
Pojawienie się i dojście do głosu zespołów we włoskiej <extra_id_0> zarazem kolejny etap adaptacji wzorców angloamerykańskich na gruncie włoskim.	<extra_id_0> muzyce pop wyznacza <extra_id_1>
Z powodu sytuacji w rodzinnym domu Basinger stała się chorobliwie nieśmiała i miała <extra_id_0> nawiązywaniem kontaktów z rówieśnikami.	<extra_id_0> ogromne problemy z <extra_id_1>
Obecnie, wraz z Eurazją Srzednicką i Jackiem <extra_id_0> kompozytor, autor tekstów, aranżer i twórca zespołu Eurazja.	<extra_id_0> Kuleszą pracuje jako <extra_id_1>
W marcu 2016 uczelnia poinformowała o złym stanie budynku oraz następującej wyprowadzce z <extra_id_0> jednostek naukowo-dydaktycznych.	<extra_id_0> obiektu administracji i <extra_id_1>
Razem: 74 <extra_id_0> pracowników cywilnych.	<extra_id_0> żołnierzy i 10 <extra_id_1>
Obecnie Campomaiorense występuje <extra_id_0> (czwarta liga).	<extra_id_0> w III Divisão <extra_id_1>
Pisze <extra_id_0> polskim.	<extra_id_0> w języku <extra_id_1>
Kolejne odcinki rzeki <extra_id_0> zmodyfikowane.	<extra_id_0> są coraz silniej <extra_id_1>
Libretto napisali Rudolf <extra_id_0> Welisch, autorzy tekstu do wystawionej rok wcześniej innej operetki Falla, Słowika hiszpańskiego.	<extra_id_0> Schanzer i Ernst <extra_id_1>
Nikomu innemu prawo do wzięcia udziału <extra_id_0> przysługuje pod żadnym pozorem”.	<extra_id_0> w niej nie <extra_id_1>
Poległo 3 <extra_id_0> zostało rannych.	<extra_id_0> żołnierzy pułku kilku <extra_id_1>
Jednakże herb taki zaczął być używany przez miasto dopiero 10 lutego 1993, po ustanowieniu <extra_id_0> Miejskiej Nr XXXV/197/93.	<extra_id_0> go Uchwałą Rady <extra_id_1>
Jego sytuację regulowało rozporządzenie Ministerstwa Wyznań Religijnych <extra_id_0> z 1918 Dz. Urz.	<extra_id_0> i Oświecenia Publicznego <extra_id_1>
W 2013 ogłosił zawieszenie <extra_id_0> podjęciu odwyku narkotykowego.	<extra_id_0> kariery z powodu <extra_id_1>
Film <extra_id_0> faktach.	<extra_id_0> został oparty na <extra_id_1>
Jeśli wyjściowy materiał zawierał seskwiazotek uranu, to w temperaturze spiekania pastylek (1900 °C) rozkładał się on <extra_id_0> gazowego azotu, niszczącego strukturę częściowo spieczonej pastylki.	<extra_id_0> raptownie z wydzieleniem <extra_id_1>
Zatoka <extra_id_0> piaszczysta.	<extra_id_0> jest płytka i <extra_id_1>
Wykonany w odlewie z mosiądzu, w kształcie <extra_id_0> 16 x16 cm.	<extra_id_0> ośmiokąta o wymiarach <extra_id_1>
Do spotkania na rozstaju dróg jednak nie dochodzi, gdyż Joanna postanawia wrócić <extra_id_0> czym pomaga jej kolega inżyniera Tadeusz Łokietek, który zabiera ją na jedną z zabaw sylwestrowych.	<extra_id_0> do Krakowa, w <extra_id_1>
Ajihad <extra_id_0> i ojciec Nasuady.	<extra_id_0> – przywódca Vardenów <extra_id_1>
Od <extra_id_0> się usamodzielnienia WKR od CTR.	<extra_id_0> 1917 PSL domagało <extra_id_1>
W praktyce oznacza to, że o ile program nadal będzie kontynuowany, <extra_id_0> mogą wzbić się w powietrze pod koniec drugiej dekady XXI wieku.	<extra_id_0> pierwsze śmigłowce seryjne <extra_id_1>
Spotkanie gwiazd odbyło się <extra_id_0> - Zachód.	<extra_id_0> w konwencji Wschód <extra_id_1>
Michelagnolo <extra_id_0> (ur.	<extra_id_0> Galilei, także Michelangelo <extra_id_1>
Podmiotem zainteresowania nauki ponownie stał się człowiek i tworzone <extra_id_0> społeczne, a nie tylko państwo i władza w tym państwie.	<extra_id_0> przez ludzi grupy <extra_id_1>
Ponadto <extra_id_0> fotoreportażem.	<extra_id_0> zajmował się <extra_id_1>
Utrzymana jest jedynie część służąca jako <extra_id_0> co niedzielę odbywają się nabożeństwa.	<extra_id_0> kaplica, w której <extra_id_1>
Na drugiej kondygnacji umieszczono sześć korynckich pilastrów, dwa z nich są nad pilastrami flankującymi główne wejście, cztery pozostałe są w <extra_id_0> rogach zewnętrznych.	<extra_id_0> dwóch parach w <extra_id_1>
Wybudowano największy wtedy <extra_id_0> dom modlitwy z salą na 600 osób.	<extra_id_0> w Polsce ewangelikalny <extra_id_1>
Swoje zainteresowania malarstwem odkrył, gdy ojciec <extra_id_0> przez siebie obraz sań konnych na śniegu.	<extra_id_0> pokazał mu namalowany <extra_id_1>
Król Kazimierz III z <extra_id_0> zapewne trzech synów (	<extra_id_0> nieznanej kochanki miał <extra_id_1>
Oczy <extra_id_0> trzech rządkach.	<extra_id_0> ustawione są w <extra_id_1>
Instytutem Pamięci Narodowej kieruje <extra_id_0> Narodowej.	<extra_id_0> Prezes Instytutu Pamięci <extra_id_1>
Zazwyczaj, gdy <extra_id_0> opuszczamy część: gdyż nie wnosi ona nic nowego.	<extra_id_0> operujemy na cyklach <extra_id_1>
Światło nie dociera w głąb gleby i mułu, <extra_id_0> nich żyjące nie mają oczu.	<extra_id_0> więc skąposzczety w <extra_id_1>
Głównym bohaterem <extra_id_0> jest Sir Max.	<extra_id_0> tej serii książek <extra_id_1>
Te liczne kulty <extra_id_0> sobą sprzeczne i stapiają się w trudne do rozróżnienia systemy.	<extra_id_0> są nieraz ze <extra_id_1>
Występuje w różnego typu <extra_id_0> liściastych.	<extra_id_0> lasach, częściej w <extra_id_1>
”, <extra_id_0> w pismach: „	<extra_id_0> publikował też m.in. <extra_id_1>
Stolica, mimo iż <extra_id_0> potężnego i dużego królestwa, jest niewielkim grodem.	<extra_id_0> wchodzi w skład <extra_id_1>
Niech oznacza <extra_id_0> dwa węzły interpolacji.	<extra_id_0> długość kroku dzielącą <extra_id_1>
Aby ustalić gdzie znajdują się antypody <extra_id_0> najpierw znać jego współrzędne geograficzne.	<extra_id_0> danego miejsca należy <extra_id_1>
Szereg przedstawionych <extra_id_0> sobą.	<extra_id_0> postaci rozmawia ze <extra_id_1>
Organizację po raz kolejny zdelegalizowano, a wielu jej członków zostało <extra_id_0> nazistów.	<extra_id_0> zamordowanych przez niemieckich <extra_id_1>
Prowadzono <extra_id_0> statków.	<extra_id_0> tam m.in. naprawy <extra_id_1>
Stosunki dyplomatyczne pomiędzy Polską i Stanami <extra_id_0> 1919.	<extra_id_0> Zjednoczonymi nawiązano w <extra_id_1>
W Dubaju i Indian Wells zawodniczka <extra_id_0> meczu w grze podwójnej.	<extra_id_0> wygrała po jednym <extra_id_1>
Przywódcy partii Baas <extra_id_0> Hafiza al-Asada.	<extra_id_0> po zamachu stanu <extra_id_1>
Rozpoczęły <extra_id_0> wyboru następcy.	<extra_id_0> się dyskusje dotyczące <extra_id_1>
Ostatnią osobą, która widziała Moulina żywego był SS-Ostubaf <extra_id_0> Gestapo na okupowaną Francję).	<extra_id_0> Karl Bömelburg (szef <extra_id_1>
Prace <extra_id_0> 1550.	<extra_id_0> kontynuowano do roku <extra_id_1>
Jeffersona C. Davisa, utrzymała się na pozycji jedynie przez krótką chwilę Street, <extra_id_0> Cozzens, ss.81-100; Eicher, ss.421-422; Hess, ss.197-203.	<extra_id_0> ss.114-117; McDonough, ss.295-96; <extra_id_1>
Jako potomek <extra_id_0> kandydatem do objęcia władzy w królestwie.	<extra_id_0> królewski był potencjalnym <extra_id_1>
W lipcu 1776 roku na statku <extra_id_0> trzecią wyprawę badawczą.	<extra_id_0> „Resolution” Cook podjął <extra_id_1>
Następnie został <extra_id_0> penitencjarnej (Administrația Națională a Penitenciarelor).	<extra_id_0> zastępcą prezesa administracji <extra_id_1>
Korzystając z <extra_id_0> w kierunku Góry Czarownic.	<extra_id_0> odkrytej mapy podążają <extra_id_1>
Mierzą <extra_id_0> długości.	<extra_id_0> 3–4 mm <extra_id_1>
W 2004 roku organizator <extra_id_0> Festiwal Debiutów Filmowych „Młodzi i Film”.	<extra_id_0> wprowadza nazwę Koszaliński <extra_id_1>
Villas-Boas podkreślał jednak, że dopóki będzie cieszył się <extra_id_0> oraz kibiców nie odejdzie ze stanowiska.	<extra_id_0> zaufaniem właściciela klubu <extra_id_1>
Wskaźniki Millera są liczbami wskazującymi ile razy odcinki, odcięte na osiach X, Y, Z <extra_id_0> sieciową w komórce elementarnej, są mniejsze od periodów identyczności wzdłuż odpowiednich osi krystalograficznych.	<extra_id_0> przez pierwszą płaszczyznę <extra_id_1>
Ojciec, Stefan Przybora, był inżynierem-cukiernikiem, właścicielem fabryki <extra_id_0> w Warszawie; matka, Jadwiga z domu Kozłowska, zajmowała się domem.	<extra_id_0> słodyczy oraz cukierni <extra_id_1>
Jest to <extra_id_0> gorczańskich polan.	<extra_id_0> jedna z najpiękniejszych <extra_id_1>
Francuska dyplomacja szczególnie nakłaniała do zerwania <extra_id_0> powstańcom oficjalny sojusz i zwiększoną pomoc materialną dopiero po ogłoszeniu niepodległości Węgier.	<extra_id_0> z Habsburgami, obiecując <extra_id_1>
Prawdopodobnie Neo wydał swoją <extra_id_0> From Home".	<extra_id_0> składankę, "So Far <extra_id_1>
Album <extra_id_0> roku 2004.	<extra_id_0> ukazał się w <extra_id_1>
Po upadku PRL dekret Bieruta pozostał w mocy, <extra_id_0> reprywatyzacji, poszczególne nieruchomości były i są zwracane po długotrwałych procesach sądowych.	<extra_id_0> nie przeprowadzono systemowej <extra_id_1>
Jan Matras był <extra_id_0> który został cudownie ocalony przez Maryję w bitwie pod Rastatt w 1793.	<extra_id_0> żołnierzem armii austriackiej, <extra_id_1>
